,Predicted,True
0,0146,0001
1,0146,0001
2,0001,0001
3,0112,0001
4,0125,0001
5,0053,0001
6,0130,0001
7,0144,0001
8,0146,0001
9,0112,0002
10,0035,0002
11,0164,0002
12,0025,0002
13,0110,0002
14,0099,0002
15,0164,0002
16,0168,0003
17,0047,0003
18,0164,0003
19,0019,0003
20,0044,0003
21,0022,0003
22,0046,0003
23,0141,0003
24,0003,0003
25,0194,0004
26,0187,0004
27,0079,0004
28,0024,0004
29,0026,0004
30,0138,0004
31,0003,0004
32,0156,0004
33,0110,0004
34,0013,0005
35,0002,0005
36,0068,0005
37,0187,0005
38,0141,0005
39,0003,0005
40,0003,0005
41,0153,0006
42,0056,0006
43,0056,0006
44,0158,0006
45,0006,0006
46,0178,0006
47,0006,0006
48,0096,0006
49,0101,0007
50,0002,0007
51,0051,0007
52,0139,0007
53,0020,0007
54,0083,0007
55,0010,0007
56,0014,0008
57,0045,0008
58,0008,0008
59,0008,0008
60,0151,0008
61,0046,0008
62,0168,0008
63,0009,0008
64,0180,0009
65,0003,0009
66,0130,0009
67,0008,0009
68,0043,0009
69,0009,0009
70,0019,0009
71,0019,0009
72,0115,0009
73,0019,0009
74,0010,0010
75,0008,0010
76,0010,0010
77,0008,0010
78,0010,0010
79,0042,0011
80,0056,0011
81,0012,0011
82,0023,0011
83,0097,0011
84,0011,0011
85,0130,0011
86,0042,0011
87,0180,0011
88,0130,0011
89,0010,0012
90,0010,0012
91,0012,0012
92,0185,0012
93,0012,0012
94,0012,0013
95,0141,0013
96,0010,0013
97,0164,0013
98,0135,0014
99,0056,0014
100,0013,0014
101,0164,0014
102,0019,0014
103,0022,0014
104,0013,0014
105,0022,0014
106,0013,0014
107,0012,0015
108,0015,0015
109,0015,0015
110,0104,0015
111,0072,0015
112,0014,0015
113,0008,0015
114,0157,0015
115,0040,0015
116,0051,0015
117,0019,0015
118,0005,0015
119,0003,0015
120,0015,0015
121,0043,0015
122,0008,0015
123,0161,0016
124,0079,0016
125,0017,0016
126,0141,0016
127,0016,0016
128,0079,0016
129,0046,0016
130,0024,0016
131,0082,0017
132,0081,0017
133,0085,0017
134,0074,0017
135,0017,0017
136,0013,0017
137,0032,0017
138,0012,0017
139,0156,0017
140,0016,0017
141,0086,0017
142,0135,0018
143,0070,0018
144,0172,0018
145,0005,0018
146,0166,0018
147,0010,0018
148,0190,0018
149,0032,0018
150,0015,0019
151,0168,0019
152,0013,0019
153,0012,0019
154,0141,0019
155,0014,0020
