,Car Make,Accuracy
0,0001,0.3333333333333333
1,0002,0.5
2,0003,0.0
3,0004,0.0
4,0005,
5,0006,0.3333333333333333
6,0007,0.0
7,0008,0.0
8,0009,0.0
9,0010,0.0
10,0011,0.0
11,0012,0.6666666666666666
12,0013,
13,0014,
14,0015,0.0
15,0016,0.0
16,0017,0.0
17,0018,0.0
18,0019,0.0
19,0020,0.6666666666666666
20,0021,1.0
21,0022,0.0
22,0023,
23,0024,0.0
24,0025,
25,0026,0.0
26,0027,
27,0028,0.0
28,0029,0.0
29,0030,0.0
30,0031,
31,0032,0.0
32,0033,0.0
33,0034,0.0
34,0035,0.0
35,0036,
36,0037,
37,0038,0.0
38,0039,0.3333333333333333
39,0040,1.0
40,0041,0.0
41,0042,0.0
42,0043,0.0
43,0044,
44,0045,0.0
45,0046,0.5
46,0047,
47,0048,0.0
48,0049,1.0
49,0050,0.0
50,0051,0.0
51,0052,0.0
52,0053,0.0
53,0054,0.0
54,0055,
55,0056,0.0
56,0057,
57,0058,
58,0059,0.0
59,0060,0.4
60,0061,
61,0062,
62,0063,
63,0064,0.3333333333333333
64,0065,0.0
65,0066,
66,0067,
67,0068,0.0
68,0069,0.0
69,0070,0.0
70,0071,0.0
71,0072,0.0
72,0073,0.0
73,0074,0.0
74,0075,0.0
75,0076,0.6666666666666666
76,0077,
77,0078,0.0
78,0079,0.0
79,0080,1.0
80,0081,0.0
81,0082,1.0
82,0083,
83,0084,
84,0085,0.75
85,0086,0.0
86,0087,0.0
87,0088,0.14285714285714285
88,0089,0.0
89,0090,0.0
90,0091,0.5
91,0092,0.0
92,0093,0.3333333333333333
93,0094,0.0
94,0095,0.0
95,0096,0.5
96,0097,0.0
97,0098,0.0
98,0099,0.5
99,0100,1.0
100,0101,1.0
101,0102,0.5
102,0103,0.5
103,0104,0.0
104,0105,
105,0106,0.4
106,0107,0.0
107,0108,
108,0109,1.0
109,0110,0.0
110,0111,0.0
111,0112,0.5
112,0113,0.0
113,0114,0.0
114,0115,0.0
115,0116,0.5
116,0117,
117,0118,0.0
118,0119,1.0
119,0120,0.6
120,0121,
121,0122,0.0
122,0123,0.3333333333333333
123,0124,0.0
124,0125,0.75
125,0126,0.5
126,0127,
127,0128,0.0
128,0129,
129,0130,0.0
130,0131,0.0
131,0132,0.0
132,0133,0.0
133,0134,
134,0135,
135,0136,0.0
136,0137,
137,0138,1.0
138,0139,
139,0140,0.0
140,0141,0.0
141,0142,0.6666666666666666
142,0143,0.0
143,0144,0.0
144,0145,0.0
145,0146,0.5
146,0147,
147,0148,0.0
148,0149,
149,0150,0.3333333333333333
150,0151,0.6
151,0152,0.6666666666666666
152,0153,1.0
153,0154,0.75
154,0155,0.0
155,0156,
156,0157,1.0
157,0158,0.5
158,0159,
159,0160,1.0
160,0161,
161,0162,0.0
162,0163,
163,0164,0.0
164,0165,1.0
165,0166,0.75
166,0167,0.0
167,0168,
168,0169,0.3333333333333333
169,0170,0.0
170,0171,
171,0172,0.0
172,0173,0.5
173,0174,0.0
174,0175,
175,0176,
176,0177,0.0
177,0178,0.5
178,0179,0.5
179,0180,0.0
180,0181,0.5
181,0182,
182,0183,
183,0184,
184,0185,0.0
185,0186,0.5
186,0187,
187,0188,
188,0189,0.6666666666666666
189,0190,0.0
190,0191,0.0
191,0192,0.5
192,0193,1.0
193,0194,0.5
194,0195,0.0
195,0196,0.6
