,Car Make,Probability,Alt1,Alt2
0,smart fortwo Convertible 2012,61.5,Mercedes-Benz Sprinter Van 2012,Daewoo Nubira Wagon 2002
1,Bentley Continental Supersports Conv. Convertible 2012,42.7,Jaguar XK XKR 2012,Dodge Charger Sedan 2012
2,Mercedes-Benz E-Class Sedan 2012,48.6,BMW M5 Sedan 2010,Audi RS 4 Convertible 2008
3,Jaguar XK XKR 2012,48.4,Dodge Challenger SRT8 2011,Aston Martin V8 Vantage Convertible 2012
4,Volvo C30 Hatchback 2012,87.0,FIAT 500 Convertible 2012,Chevrolet Corvette Ron Fellows Edition Z06 2007
5,Ram C/V Cargo Van Minivan 2012,47.9,Suzuki Aerio Sedan 2007,MINI Cooper Roadster Convertible 2012
6,Aston Martin V8 Vantage Convertible 2012,77.7,Bentley Continental Supersports Conv. Convertible 2012,Dodge Caliber Wagon 2012
7,Hyundai Genesis Sedan 2012,44.6,Suzuki Aerio Sedan 2007,Mercedes-Benz S-Class Sedan 2012
8,Aston Martin Virage Convertible 2012,40.0,Volvo C30 Hatchback 2012,Chrysler 300 SRT-8 2010
9,Audi RS 4 Convertible 2008,47.5,Bentley Arnage Sedan 2009,Spyker C8 Coupe 2009
10,Jaguar XK XKR 2012,71.0,Audi S6 Sedan 2011,BMW M5 Sedan 2010
11,Lincoln Town Car Sedan 2011,36.5,Cadillac CTS-V Sedan 2012,MINI Cooper Roadster Convertible 2012
12,Daewoo Nubira Wagon 2002,17.3,Volvo XC90 SUV 2007,Ford Expedition EL SUV 2009
13,FIAT 500 Abarth 2012,15.5,BMW X6 SUV 2012,Nissan Juke Hatchback 2012
14,Jeep Compass SUV 2012,82.9,Acura TL Sedan 2012,Dodge Caliber Wagon 2012
15,Dodge Charger Sedan 2012,31.7,Hyundai Azera Sedan 2012,Mercedes-Benz S-Class Sedan 2012
16,Land Rover Range Rover SUV 2012,65.5,Jeep Grand Cherokee SUV 2012,Aston Martin Virage Convertible 2012
17,BMW X6 SUV 2012,99.0,Dodge Caliber Wagon 2007,Dodge Caliber Wagon 2012
18,BMW ActiveHybrid 5 Sedan 2012,50.0,Mercedes-Benz S-Class Sedan 2012,Audi S6 Sedan 2011
19,Hyundai Elantra Sedan 2007,38.3,Tesla Model S Sedan 2012,Suzuki Kizashi Sedan 2012
20,Chevrolet Corvette ZR1 2012,58.8,Volvo C30 Hatchback 2012,Audi S4 Sedan 2012
21,Lamborghini Reventon Coupe 2008,38.3,Nissan Juke Hatchback 2012,BMW M6 Convertible 2010
22,Chrysler PT Cruiser Convertible 2008,98.9,Plymouth Neon Coupe 1999,Daewoo Nubira Wagon 2002
23,Bentley Arnage Sedan 2009,94.9,Mercedes-Benz 300-Class Convertible 1993,Chevrolet Silverado 2500HD Regular Cab 2012
24,Acura ZDX Hatchback 2012,75.2,Audi S6 Sedan 2011,Audi TT Hatchback 2011
25,Dodge Charger Sedan 2012,50.7,Dodge Charger SRT-8 2009,Bentley Arnage Sedan 2009
26,Dodge Charger Sedan 2012,33.1,Jaguar XK XKR 2012,Nissan Juke Hatchback 2012
27,FIAT 500 Abarth 2012,93.2,Jeep Patriot SUV 2012,Nissan NV Passenger Van 2012
28,Chrysler Aspen SUV 2009,87.6,Cadillac Escalade EXT Crew Cab 2007,Isuzu Ascender SUV 2008
29,Acura TL Sedan 2012,21.0,Audi TTS Coupe 2012,Audi TT Hatchback 2011
30,Mercedes-Benz E-Class Sedan 2012,75.8,Audi S4 Sedan 2007,Porsche Panamera Sedan 2012
31,Jaguar XK XKR 2012,67.6,Hyundai Sonata Sedan 2012,Chrysler Town and Country Minivan 2012
32,Nissan 240SX Coupe 1998,84.8,Ferrari California Convertible 2012,Audi TT Hatchback 2011
33,Ferrari FF Coupe 2012,22.3,Infiniti G Coupe IPL 2012,Mercedes-Benz E-Class Sedan 2012
34,FIAT 500 Abarth 2012,96.8,Aston Martin V8 Vantage Convertible 2012,Land Rover LR2 SUV 2012
